PRDCODEXT,PROMDEFFECDES_df1,PROMDEFFECHAS_df1,Status Hoy_df2,Prov_df2,Cat _df2,Tipo Prov_df2,LOCCOD_df3,MOVFEC_df3,ACPRCANTVEND_df3,ACPRIMPVEN_df3
562730,26/08/2021,13/09/2021,1.0,62831.0,216.0,1.0,5201.0,23/8/2021,0.0,770
562731,26/08/2021,13/09/2021,1.0,64156.0,216.0,1.0,5201.0,4/8/2021,1.0,925
562732,26/08/2021,13/09/2021,1.0,64991.0,216.0,1.0,5201.0,23/8/2021,0.0,195
562734,26/08/2021,13/09/2021,1.0,64991.0,216.0,1.0,5201.0,23/8/2021,0.0,0
562735,26/08/2021,13/09/2021,1.0,64991.0,216.0,1.0,5201.0,23/8/2021,0.0,105
562736,26/08/2021,13/09/2021,1.0,64991.0,216.0,1.0,5201.0,23/8/2021,0.0,105
562737,26/08/2021,13/09/2021,1.0,64991.0,216.0,1.0,5201.0,23/8/2021,0.0,60
562739,26/08/2021,13/09/2021,1.0,65167.0,216.0,1.0,5201.0,23/8/2021,0.0,519
562742,26/08/2021,13/09/2021,1.0,65167.0,216.0,1.0,5201.0,27/8/2021,1.0,690
562743,26/08/2021,13/09/2021,1.0,10145.0,216.0,1.0,5201.0,23/8/2021,0.0,570
562744,26/08/2021,13/09/2021,1.0,66033.0,216.0,1.0,5201.0,23/8/2021,0.0,449
562746,26/08/2021,13/09/2021,1.0,66042.0,216.0,1.0,5201.0,22/8/2021,1.0,365
562747,26/08/2021,13/09/2021,5.0,60806.0,216.0,1.0,5201.0,29/8/2021,1.0,825
562748,26/08/2021,13/09/2021,5.0,85300.0,216.0,1.0,5201.0,23/8/2021,0.0,480
562749,26/08/2021,13/09/2021,5.0,85300.0,216.0,1.0,5201.0,28/8/2021,3.0,1875
562756,26/08/2021,13/09/2021,1.0,11094.0,216.0,1.0,5201.0,15/5/2021,1.0,590
562811,26/08/2021,13/09/2021,1.0,62707.0,216.0,1.0,5201.0,23/8/2021,0.0,439
562852,26/08/2021,13/09/2021,1.0,28064.0,216.0,1.0,5201.0,23/8/2021,0.0,289
562856,26/08/2021,13/09/2021,5.0,60806.0,216.0,1.0,5201.0,22/6/2021,1.0,355
562857,26/08/2021,13/09/2021,5.0,60806.0,216.0,1.0,5201.0,1/6/2021,1.0,355
600759,26/08/2021,13/09/2021,1.0,25126.0,216.0,1.0,5201.0,5/5/2021,1.0,309
600791,26/08/2021,13/09/2021,1.0,31064.0,216.0,1.0,5201.0,10/5/2021,1.0,199
600794,26/08/2021,13/09/2021,1.0,31064.0,216.0,1.0,5201.0,2/5/2021,7.0,2023
600798,26/08/2021,13/09/2021,1.0,25126.0,216.0,1.0,5201.0,3/5/2021,1.0,669
600913,26/08/2021,13/09/2021,1.0,10145.0,216.0,1.0,5201.0,28/7/2021,1.0,429
600920,26/08/2021,13/09/2021,1.0,10145.0,216.0,1.0,5201.0,9/6/2021,1.0,2600
600937,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,4/5/2021,1.0,669
600999,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,5/5/2021,2.0,3530
601069,26/08/2021,13/09/2021,5.0,11092.0,216.0,1.0,5201.0,13/5/2021,1.0,248
601070,26/08/2021,13/09/2021,1.0,22231.0,216.0,1.0,5201.0,29/6/2021,1.0,765
601073,26/08/2021,13/09/2021,1.0,22231.0,216.0,1.0,5201.0,26/8/2021,6.0,3930
601094,26/08/2021,13/09/2021,1.0,31064.0,216.0,1.0,5201.0,4/5/2021,3.0,585
601097,26/08/2021,13/09/2021,1.0,21603.0,216.0,1.0,5201.0,5/5/2021,1.0,259
601200,26/08/2021,13/09/2021,5.0,85300.0,216.0,1.0,5201.0,6/5/2021,1.0,359
601213,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,4/5/2021,2.0,718
601218,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,2/5/2021,1.0,609
601232,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,2/5/2021,1.0,279
562024,01/11/2021,06/01/2022,,,,,5201.0,21/12/2021,1.0,11500
562026,01/11/2021,06/01/2022,,,,,5201.0,16/12/2021,1.0,21500
562290,01/11/2021,06/01/2022,5.0,13016.0,217.0,1.0,5201.0,22/11/2021,1.0,1950
562291,01/11/2021,06/01/2022,5.0,13016.0,217.0,1.0,5201.0,30/11/2021,1.0,1590
562292,01/11/2021,06/01/2022,,,,,5201.0,4/12/2021,1.0,1550
562294,01/11/2021,06/01/2022,5.0,13016.0,217.0,1.0,5201.0,19/11/2021,1.0,759
562379,01/11/2021,06/01/2022,5.0,13016.0,217.0,1.0,5201.0,19/12/2021,1.0,5190
562659,01/11/2021,06/01/2022,5.0,13016.0,217.0,1.0,5201.0,26/6/2021,1.0,2100
562660,01/11/2021,06/01/2022,5.0,13016.0,217.0,1.0,5201.0,10/7/2021,1.0,1890
562661,01/11/2021,06/01/2022,5.0,13016.0,217.0,1.0,,,,
562662,01/11/2021,06/01/2022,5.0,13016.0,217.0,1.0,,,,
600775,05/07/2021,25/07/2021,1.0,25126.0,216.0,1.0,5201.0,4/5/2021,2.0,678
600779,05/07/2021,25/07/2021,1.0,25126.0,216.0,1.0,5201.0,4/5/2021,1.0,339
600799,05/07/2021,25/07/2021,1.0,25126.0,216.0,1.0,5201.0,2/5/2021,2.0,678
562485,04/11/2021,21/11/2021,1.0,62707.0,217.0,1.0,5201.0,15/5/2021,1.0,445
562486,04/11/2021,21/11/2021,1.0,62707.0,217.0,1.0,5201.0,2/6/2021,1.0,445
562493,04/11/2021,21/11/2021,5.0,22010.0,216.0,1.0,5201.0,2/5/2021,1.0,369
562577,04/11/2021,21/11/2021,5.0,25161.0,217.0,1.0,5201.0,7/5/2021,1.0,1050
562583,04/11/2021,21/11/2021,5.0,10145.0,216.0,1.0,5201.0,13/5/2021,1.0,245
562605,04/11/2021,21/11/2021,5.0,22010.0,216.0,1.0,5201.0,5/5/2021,2.0,738
562629,04/11/2021,21/11/2021,5.0,10145.0,216.0,1.0,5201.0,7/5/2021,2.0,1050
562712,04/11/2021,21/11/2021,1.0,25161.0,216.0,1.0,5201.0,4/11/2021,0.0,189
562733,04/11/2021,21/11/2021,5.0,25161.0,217.0,1.0,5201.0,4/11/2021,0.0,359
562738,04/11/2021,21/11/2021,1.0,25161.0,217.0,1.0,5201.0,4/11/2021,0.0,718
562740,04/11/2021,21/11/2021,1.0,10145.0,216.0,1.0,5201.0,7/6/2021,1.0,509
562745,04/11/2021,21/11/2021,1.0,25161.0,217.0,1.0,5201.0,4/11/2021,0.0,359
562760,04/11/2021,21/11/2021,1.0,25161.0,216.0,1.0,5201.0,30/8/2021,1.0,769
584456,04/11/2021,21/11/2021,1.0,11270.0,217.0,1.0,5201.0,4/11/2021,1.0,690
584457,04/11/2021,21/11/2021,1.0,11270.0,217.0,1.0,5201.0,24/10/2021,1.0,890
600810,04/11/2021,21/11/2021,5.0,11092.0,216.0,1.0,5201.0,15/5/2021,1.0,265
602575,04/11/2021,21/11/2021,5.0,11098.0,216.0,1.0,5201.0,7/5/2021,1.0,279
560223,26/08/2021,13/09/2021,1.0,21603.0,216.0,1.0,5201.0,11/5/2021,1.0,319
560230,26/08/2021,13/09/2021,5.0,11092.0,216.0,1.0,5201.0,19/6/2021,4.0,1940
560238,26/08/2021,13/09/2021,1.0,11092.0,216.0,1.0,5201.0,9/6/2021,1.0,1570
560251,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,14/5/2021,1.0,895
560277,26/08/2021,13/09/2021,1.0,11052.0,216.0,1.0,5201.0,8/5/2021,1.0,205
